company,description,keyword,location,posted_date,title
-,"Tu cherches un stage ou une alternance en webmarketing à partir de janvier 2021, pour une durée d'au moins 6 mois, ton profil nous intéresse !
Les missions : 
gestion RP 2.0
mise en place de la stratégie des RS (planning, idées de post, etc.)
participation aux campagnes sur le paid search
augmentation de la visibilité de la marque
community management
*
Et si tu es organisé.e, autonome et polyvalent.e, toujours de bonne humeur et tu coches les critères suivants, nous attendons ta candidature :
Maîtrise SEO et SEA
Orthographe et grammaire irréprochables
Connaissances en marketing et webmarketing
Bonne faculté d'analyse
A très vite !
Durée du contrat : 6 mois
Nombre d'heures : 35 par semaine
Date limite de candidature : 31/12/2020
Type d'emploi : Temps plein, Temps partiel, Stage
Salaire : Jusqu'à 12,00€ par heure
Avantages :
Titre-restaurant
Horaires :
Périodes de Travail de 8 Heures
Travail en journée
Expérience:
webmarketing: 1 an (Souhaité)
Télétravail:
Non",data science,Rennes (35),,Stage ou alternance Webmarketing
VeoNum,"VeoNum…
Tu en a déjà entendu parler ? un peu, beaucoup, pas encore suffisamment ?



Peu importe ta réponse à la question, je te laisse poursuivre ta lecture et t’immerger dans l’environnement Human First, valeur fondamentale de l’entreprise.



VeoNum, 
entreprise rennaise, regroupe aujourd’hui 40 consultants dont plusieurs dotés d’un doctorat. Elle est le fruit de l’engagement de ses trois fondateurs dont les valeurs sont basées
 sur la bienveillance, le partage, le bien-être et l’expertise technique.



L’entreprise à taille humaine s’inscrit dans une logique de proximité en faisant preuve de convivialité et de bon sens au quotidien.


Le « Human first », notre ADN, qu’en est-il exactement ?




C’est le choix du projet sur lequel tu vas travailler, sans aucune mobilité !


C’est une formation sur mesure et adaptée à ton expertise


C’est une bonne mutuelle, des tickets restaurant, des RTTs …


C’est une participation aux évènements régionaux (DevFest, Agile Tour…) où tu vas pouvoir te nourrir d’informations sur ton métier


C’est une vraie Team où on sait aussi de temps en temps laisser le travail de côté ! (Soirées, escape game, barbecue, karting…)




L’activité de l’entreprise quant à elle s’oriente sur plusieurs axes autour desquels tu pourras évoluer, et ainsi rapidement monter en compétences entre deux projets :




La R&D, activité réalisée sous l’enseigne VeoBrain, labo interne qui travaille sur l’IA, le machine learning…


La veille technologique sur les nouveaux Frameworks


Des projets réalisés pour des clients internationaux,


Des activités autour de la vidéo en lien avec Veo-Labs qui développe des produits de streaming vidéo embarqué / Web




Veonum prend soin de ses collaborateurs : mutuelle, tickets restaurant, aucune mobilité, projet de qualité, participation aux évènements regionaux (devfest, Agile tour…), une réelle équipe et vie d’agence (soirées d’agences, afterworks,…)



Tu recherches de nouveaux challenges, tu as une envie permanente d’apprendre et de te maintenir à ton meilleur niveau sur les nouvelles technologies, alors rejoins VeoNum pour exprimer ton talent !



Pour accompagner sa croissance à Rennes, VeoNum propose le poste suivant :


Sys Admin/devops H/F




Pourquoi avons-nous besoin de toi ?



Pour intervenir en tant que développeur backend GO, C/C++dans une équipe Agile sur un produit ou solutions vidéo sur une architecture micro-services.



Mais quel sera exactement ton rôle ?



Sys Admin, devops sur des produits déployés dans le cloud AWS


Tes activités principales au quotidien


Gestion Active directory


Admin windows et linux


Déploiement/gestion AWS (docker/kubernetes)


Pré-requis


Alors si tu aimes travailler en équipe, tu es enthousiaste et rigoureux, et disposes idéalement des connaissances et expertises suivantes :




Active directory


Administrateur système


Bonne connaissance AWS (docker/Kubernetes)


Pratique d’un langage de scripting (ex : bash, python)




Les connaissances suivantes serait un plus 
:




connaissances appréciées dans le domaine du Web (nodejs, …)




Mots clés spécifiques :




Linux/windows


AWS


docker


Kubernetes




Le poste est basé à Rennes.",admin système,35700 Rennes,,SysAdmin / devops H/F
Talan Solutions,"Description de l'entreprise



Talan Solutions est l’entité du groupe dédiée au conseil et à l’intégration autour des solutions technologiques.

Spécialiste du domaine de la gestion et de l’exploitation de la donnée, Talan Solutions développe et met à disposition de ses clients des expertises fonctionnelles, méthodologiques et techniques afin de les accompagner tout au long du cycle de vie d’un projet de transformation digitale.

Nos interventions se focalisent autour des problématiques de Business Intelligence, EPM, Big Data, Data Science, Intelligence Artificielle, MDM, d’accompagnement de la relation client (CRM), de gestion de contenus digitaux (applications mobiles, CMS, développement Web, etc.) et de gestion des données d’entreprise (ERP, EAM, ITSM, etc.).

L’organisation en équipes spécialisées et dédiées à une problématique permet à nos ressources de développer un haut niveau de savoir-faire. Nous sommes ainsi capables d’adresser toutes les étapes d’un projet : des phases amonts (cadrage, choix d’outils, etc.) jusqu’au maintien en conditions opérationnelles en passant par toutes les phases de modélisation, de développement, de recette, de mise en exploitation et d’accompagnement au changement.

Les différents partenariats nous accordent une position de partenaire privilégié. Cela nous permet, entre autre, d’accompagner nos consultants à travers des formations directement auprès des éditeurs, de se certifier continuellement, et ainsi de développer les meilleures compétences sur le marché.




Description du poste



En tant que 
Consultant(e) Data Visualisation (Dataviz)
, vous serez amené à intervenir auprès de nos clients grands comptes à 
Rennes
, sur des missions variées, dans le cadre de projets IT



Votre rôle consistera à :

Cadrer les besoins, concevoir et analyser les spécifications fonctionnelles et techniques

Maitriser la plateforme complète (installation et dimensionnement)

Définir les solutions et l’architecture technique à mettre en place

Créer les applications, modélisation et développement de tableaux de bord

Rédiger la documentation fonctionnelle et/ou technique

Assurer les diagnostics et la résolution des dysfonctionnements

Former les utilisateurs et équipe projet

Participer à des avant-ventes

Réaliser des POC (Proof Of Concept)

Participer éventuellement à des événements partenaires




Qualifications



PROFIL

De formation supérieure en Informatique, Finance ou Industrie, vous bénéficiez d’une expérience réussie sur un poste similaire, d’au moins 5 ans, au sein d'une ESN ou d'une DSI.



COMPETENCES FONCTIONNELLES REQUISES

Connaissance du cycle de vie d’un projet

Capacité à appréhender le contexte métier

Connaissance d’autres outils BI

Maîtrise du design d’application et de la modélisation Data Visualisation

Maîtrise de l’administration d'une plateforme Datavisualisation

La connaissance de NPrinting et Geoanalytics est un plus

Anglais professionnel

Bonnes connaissances :

des bases de données

du langage SQL

de la modélisation de données (MCD)

des différentes architectures de Datamart ou DataWarehouse

d'un ou 2 outils de restitution (QlikView, QlikSense, Tableau, Power BI, SAP BI/BO…)

de la méthodologie et des outils de tests



COMPETENCES TECHNIQUES

Langage SQL

Outils Décisionnels parmi : QlikView, QlikSense, Tableau, Power BI, …



Au-delà de votre formation et de votre expertise, nous recherchons de futurs collaborateurs motivés par la perspective d'intégrer une structure à taille humaine en pleine croissance, exigeante et favorisant l’esprit d’équipe.

Informations complémentaires



Dataviz, QlikView, QlikSense, SAP BI/BO, Tableau, MS BI, Power BI",data science,Rennes (35),,Consultant Data Visualisation (Dataviz) - H/F
-,"Description de l'entreprise

Entreprise de Services du Numérique créée en 1993, ASI est spécialisée dans la mise en place de sites Intranet/Extranet, d’applications mobiles, de solutions de Business Analytics et de Social Business (réseaux sociaux d’entreprise, messagerie, portail, CRM…).

Implantée dans 7 villes (Paris, Lyon, Rennes, Brest, Nantes, Niort et Bordeaux), ASI compte 440 collaborateurs qui interviennent auprès de PME/PMI, de grandes entreprises et de collectivités locales.

Rejoignez une entreprise qui allie performance et sens écologique, positionnée sur des projets à taille humaine et partagez notre éthique basée sur la transparence, le respect, la simplicité, la convivialité et le plaisir.

Description du poste

Activités confiées au stagiaire :

L’objectif du stage est de construire une stack technique packagée autour de notre écosystème datalab afin d’être en mesure de déployer et de paramétrer de manière automatique un datalab ASI pour des besoins internes ou externes.

Le stage s’articulera en trois étapes :

§ Identification des technologies importantes et compréhension du besoin

§ Construction de la stack en collaboration avec nos équipes techniques

§ Validation du concept autour d’une liste de cas d’usage

Vous interviendrez sur la totalité de votre période de stage dans nos locaux Rennais.

Profil :

De 
formation Bac+3 à Bac +5 
en informatique (de type école d’ingénieurs ou université) en cours de validation, vous recherchez un stage d’une 
durée de 4 à 6 mois minimum
, avec un démarrage [période]

Compétences et aptitudes attendues :

Bon esprit de synthèse

Dynamique, communicatif

Compréhension des enjeux et appétence technique sur les sujets de la DATA

Connaissance des langages de scripting

Très bon relationnel

Informations complémentaires

Processus de recrutement :

Notre processus de recrutement se déroule en 3 étapes maximum :

Après étude et validation de votre parcours et de son adéquation avec le poste, une chargée de recrutement vous contactera pour convenir d’un premier entretien,

Dans un second temps et après validation de cette première étape, vous rencontrerez un opérationnel pour poursuivre l’échange sur une partie plus technique,

Enfin, vous serez convié(e) à un entretien de closing avec le manager de l’équipe.",data science,Rennes (35),,Stage Data Intelligence : contruction d'une stack Datalab F/H
-,"ENTREPRISE : 
Traiteur de Paris, (2 ateliers de production, 400 salariés) est spécialisée dans la fabrication de pâtisseries fines et produits traiteur surgelés premium, à destination des professionnels de la restauration en France et à l’international.
Dans un contexte de fort développement, notamment dans le cadre de notre stratégie digitale, nous recherchons un stagiaire de fin d’études – Ingénieur Logistique pour une durée de 6 mois à compter de février 2021.
Le stage est basé à Rennes (35).
MISSIONS PRINCIPALES : 
Intégré(e) au sein de l’équipe Supply Chain composée aujourd’hui de 5 personnes et rattaché(e) au Responsable Supply, ton objectif est d’étudier et de mettre en œuvre une organisation logistique visant à réaliser une différentiation retardée de nos produits.
Pour cela, nous te confions les missions suivantes :
· Etat des lieux des produits Traiteur de Paris qui pourrait faire l’objet d’une différentiation retardée (emballage, étiquetage)
· Définition du schéma industriel (en usine) et logistique (en entrepôt) permettant la mise en place de la différentiation retardée
· Gestion d’un appel d’offre pour identifier un prestataire logistique
· Elaboration du plan d’actions de mise en place de la solution
PROFIL : 
Le talent que l’on recherche :
· Tu es un(e) étudiant(e) en formation liée à la Supply Chain ou la Logistique, de Bac+4 à Bac+5
· Tu recherches ton stage de fin d’études pour 2021
· Tu as une forte appétence pour les problématiques de gestion de stock et d’entrepôt
· Tu maîtrises bien le Pack Office et particulièrement Excel et tu es à l’aise avec les chiffres
· Tu aimes interagir avec les autres services de l’entreprise pour recueillir les bonnes informations
En bref, si rigueur, force de proposition, aisance relationnelle et bonne humeur sont des mots qui te correspondent, et qu’en plus tu désires t‘investir dans une entreprise en croissance avec une forte dimension internationale, rejoins notre aventure et envoie-nous ta candidature !
Durée du contrat : 6 mois
Type d'emploi : Temps plein, Stage
Avantages :
Participation au Transport
Titre-restaurant
Horaires :
Du Lundi au Vendredi
Travail en journée",data science,Rennes (35),,Ingénieur logistique: différenciation retardée - stage de fin d'études
ANOZR WAY,"Nous recherchons aujourd’hui un profil technique qui aura en charge les missions suivantes :
· Etude et mise en place d’un Datalake qui permet l’exploitation et l’étude de la masse de données qui y sont stockées.
· Etude et mise en place d’un processus d’automatisation de l’indexation des données du datalake basé sur un modèle plus ou moins prédictif du format des fichiers d’entrée.
· Etude de scalabilité d’un tel datalake
· Etude des modèles d’apprentissage applicables aux données.
VOS COMPETENCES
 :
· Option lourde big data ou machine learning.
· Appétences au système et infrastructures / réseau.
· Maitrise d’un langage de programmation de scripting/machine learning (par exemple Python3, C/C++, Java, R, Scala, Ruby, MATLAB...)
· Maitrise d’un ou plusieurs systèmes de gestion de base de données (Elasticsearch, MongoDB, MySQL, PostgreSQL, ...)
· Quelques connaissances dans les outils de machine learning (NumPy, SciPy, Matplotlib, Pandas, Keras, Tensorflow, SciKitLearn, PyTorch, CNTK, MXNet...)
Titulaire d'un Bac + 3 minimum, mais plus qu’un diplôme c’est une personnalité et une envie de s’investir au sein d’une entreprise avec une réelle utilité sociale que nous recherchons.
Statut : Cadre
Type d'emploi : Temps plein, CDI
Salaire : 2 454,00€ à 4 270,00€ par mois
Avantages :
Horaires flexibles
Travail à Distance
Horaires :
Du Lundi au Vendredi
Horaires flexibles
Périodes de Travail de 8 Heures
Expérience:
data scientist h/f ou similaire: 1 an (Requis)
Télétravail:
Temporairement en raison du COVID-19",data science,35510 Cesson-Sévigné,,Data Scientist H/F
MV GROUP,"Avec une recette unique dans le digital, MV Group réunit 8 filiales et apporte une solution globale de 42 expertises pour le développement du business de ses clients. Avanci, filiale du groupe, est une agence de data spécialisée en stratégie de fidélisation clients. Nous accompagnons nos clients dans la connaissance, la fidélisation et l’engagement durable de leurs clients pour développer leur business et la richesse de l’entreprise.



Dès votre arrivée, nous vous donnerons les clés d’une intégration réussie : parcours d’intégration personnalisé, team building, management centré sur l’humain et les talents et bien d’autres actions pour s’intégrer à 100% dans une vraie équipe.



MV Group recrute pour sa filiale Avanci !




Description du poste



En tant que Data Analyst Marketing (H/F), vous rejoignez le pôle Data Intelligence de l’Agence et réalisez des analyses sur les bases de données de nos clients afin de mieux comprendre le comportement clients ou prospects.



Vous serez principalement en charge de :




Réaliser des études sur les bases de données prospects et clients : segmentation client (style de consommation, valeur, omnicanal…), scoring, profil client, analyse des parcours (omnicanal, d’achat, de navigation…), bilans de campagnes nécessaires à une meilleure connaissance clients / prospects ;


Réaliser des analyses et faire des recommandations afin d’améliorer les performances des campagnes marketing (acquisition, cross-sell, rétention) ;


Réaliser des analyses et études d’optimisation de réseaux de points de vente, typologie d’implantations ;


Réaliser les prévisions utiles à l’activité marketing de nos clients (performance des opérations, potentiels prévisionnels, …) ;


Diffuser et présenter les résultats de vos études ;


Elaborer, en partenariat avec les Directions Conseils, des recommandations stratégiques et opérationnelles permettant à nos clients d’identifier des leviers de croissance pour leur activité ;


Travailler en transverse en assurant une bonne communication et coordination avec les différents services avec lesquels vous interagissez.




Vous exploitez les datas et développez les algorithmes dans le but de répondre aux problématiques de nos clients :




Segmentation client (style de consommation, valeur, omnicanal…) ;


Scores, profils, analyse des parcours (omnicanal, d’achat, de navigation…) ;


Etudes d’optimisation de réseaux de points de vente, typologie d’implantations ;


Prédiction (attrition, appétence, valeur future, satisfaction…) ;


Prévision (durée de vie, ventes, trafic…) ;


Analyses, ou reporting adhoc ponctuels….




En qualité de Data Analyst Marketing, vous :




Gérez et animez la relation client au quotidien ;


Développez les programmes, déployez les outils et méthodes (segmentation, scoring, analyses de résultats d’enquêtes …) adaptés pour répondre aux problématiques clients ;


Restituez les résultats au client, dans le respect des engagements de délai et de qualité.




Vous serez amené(e) à intervenir sur des projets et des secteurs diversifiés, directement chez le client.

A moyen terme, vous pourrez évoluer dans votre métier, au sein des équipes.




Profil recherché



Et vous ?




De formation BAC+4 / BAC+5 orienté Statistiques et/ou Informatique Décisionnelle complétée par une formation aux métiers du marketing, vous disposez de minimum 5 ans d’expérience sur un poste similaire. Une expérience similaire dans le secteur retail et/ou e-commerce serait fortement appréciée ;


La connaissance des enjeux du domaine du digital est attendue ;


La maîtrise de solutions de BI ainsi que du pack office est indispensable pour mener à bien cette mission ;


De bonnes connaissances en SQL, R ou Python seraient fortement appréciée ;


Des connaissances en solutions de Dataviz type Tableau Software seraient un plus ;


Vous êtes reconnu(e) pour vos capacités d’analyse et d’argumentation, votre rigueur et votre esprit de synthèse ;


A l’aise à l’oral et doté(e) d’un bon sens relationnel, vous aimez présenter vos analyses et recommandations aux clients lors de réunions de restitution;


Vous savez délivrer des analyses dans des délais courts et faire preuve de souplesse et d’adaptation en fonction des imprévus et priorités ;


Vous êtes orienté(e) clients et résultats et savez travailler de manière transverse.




Cette offre vous parle ? Alors n’attendez plus ! MV Group recrute des talents qui partagent leur recette d’une vie professionnelle épanouie. Chez nous, on vit intensément et autrement l’aventure du digital dans un environnement multi-expertises unique.



Vous êtes à la recherche de nouvelles ambitions ? Découvrez nos astuces et conseils pour maximiser vos chances de nous rencontrer !



Poste à pourvoir idéalement sur Tours ( Rennes ou Nantes en seconde alternative).


Informations


Poste


Data Analyst Marketing


Localité


Rennes


Contrat


CDI


Handi-accessible :


Oui


Expertise


5 ans


Niveau d'études


Bac +4/5",data science,Rennes (35),,Data Analyst Marketing F/H
-,"Agir là où data et digital façonnent l'avenir des entreprises


Depuis plus de 25 ans, Business & Decision s'est imposé comme un partenaire stratégique pour la transformation digitale de nombreux clients, dans des secteurs très variés.


Plus que par son côté précurseur en Data expérience et ses expertises reconnues dans le digital, sa force repose sur ses 2 500 collaborateurs. Tous sont animés par la même passion pour l'innovation technologique, les projets qui stimulent leur créativité et l'envie de repousser les limites du futur.



Votre mission ?


Au sein de notre agence Rennaise, vous intégrez une équipe projet et contribuez à toutes les phases de mise en œuvre d’une application décisionnelle.

Missions :

Analyser, recueillir les besoins du client

Rédiger les spécifications fonctionnelles et techniques

Modéliser des datawarehouses / datamarts

Développer les procédures d’alimentation (ETL) et/ou de reporting

Réaliser la recette et les tests

Suivre et mettre en production

Rédiger de la documentation technique

Réaliser des formations auprès des utilisateurs

Des missions riches et variées qui vous permettront d’évoluer sur tous les enjeux d’un projet.


Votre profil pour mener à bien cette mission


De formation Bac + 4/5, vous disposez 
au minimum de 4 ans
 d'expérience dans la mise en œuvre de projets décisionnels. Vous maitrisez parfaitement au moins un outil de 
Data visualisation
 (QlikView, Qlik Sense, Tableau, Power BI…). Une bonne connaissance de 
Datastage
 est également recommandée.

Vous êtes doté d’une grande qualité d’écoute associée à un très bon relationnel

Vous êtes de nature curieux et passionné de la Data.


Type de contrat


CDI


Localisation du poste


Parc d'activité de Ker Lann, rue Siméon Poisson 35170 Bruz",data science,Rennes (35),,Consultant(e) senior Data Rennes H/F
Logpickr,"La société Logpickr 
Logpickr est une jeune entreprise dynamique dans le domaine du Process Mining, et est la seule startup française du secteur reconnue par Gartner depuis 2 ans.
Elle propose une plateforme complète combinant Intelligence Artificielle et Process Mining permettant d’optimiser tous les processus d’une entreprise, que ce soit pour une banque et ses crédits, une assurance et la gestion des sinistres, ou un industriel pour son processus de fabrication.
Reconnu lors de plusieurs contests (Breizh Amerika, Hackaudit, French Assurtech), la start-up compte aujourd’hui 5 personnes, et ambitionne d’embaucher 10 collaborateurs d’ici 2 ans, afin de notamment poursuivre son développement à l’international.
Votre rôle 
Participez à la réalisation d'un outil d'extraction/aggrégation/prétraitement des donnée de Process Mining. Utilisez des frameworks modernes de traitement de flux de données (
Kafka, KSQLDB, Spark
).
Votre profil 
Les activités relatives à ce stage seront :
compréhension des algorithmes liés au Process Mining
éveloppement sur la base de technologies Big Data (Spark, Scala, Kafka, KSQLDB)
mise en œuvre , paramétrage de connecteurs Kafka pour différentes sources de données. Lien avec équipes de développement front
création de container Docker
intégration continue (build, tests et couverture de tests)
formation souhaitée
vous préparez une formation de niveau Bac +5 dans le domaine de développement de systèmes informatiques.
compétences et qualités personnelles recherchées vous possédez un bon relationnel
vous êtes autonome
vous avez de bonnes capacités rédactionnelles
vous avez idéalement une expérience dans le développement objet et fonctionnel (scala, kafka) vous avez des connaissances sur les architectures distribuées et de streaming
vous êtes curieux des besoins des utilisateurs finaux, et aimez savoir à quoi sert le logiciel auquel vous contribuez
Durée du contrat : 6 mois
Statut : Cadre
Type d'emploi : Stage
Salaire : à partir de 600,60€ par mois
Avantages :
Travail à Distance
Horaires :
Périodes de Travail de 8 Heures
Mesures COVID-19:
télétravail
Expérience:
kafka: 1 an (Requis)
spark: 1 an (Souhaité)
Télétravail:
YES_OCCASIONALLY",data science,35510 Cesson-Sévigné,,Stage Data Engineer (F/H)
Deoma Formation,"Leader des enseignes de bricolage en France, Castorama est présent sur tout le territoire national. L’enseigne Castorama a pour volonté de rendre le bricolage accessible à tous ses clients. L'ensemble des univers du bricolage et des projets de la maison y sont développés.
Nous vous proposons de rejoindre notre équipe en tant que 
Conseiller de vente H/F en magasin de bricolage par le biais d’un Certificat de Qualification Professionnelle.
 Ce métier consiste, entre autres, à vendre des produits techniques, conseiller leur utilisation, accompagner les clients dans leurs projets et contribuer à la mise en valeur de son rayon. Alors, si vous avez le goût du commerce, que vous aimez le travail en équipe, le challenge vous motive, venez nous rejoindre ! Vous obtiendrez une qualification professionnelle sur un métier porteur ; 
pour cela vous intégrez la formation de conseiller de vente H/F en magasin de bricolage sous forme d’un CQP.
Ce dispositif s’effectue sur un an en contrat de professionnalisation avec en moyenne 
1 semaine en centre de formation à Rennes et 3 semaines en entreprise, au Castorama de Rennes
Vous signerez, avec l'enseigne, un contrat de professionnalisation de 1 an.
Vous êtes…
Conditions à remplir :
- Motivé
- Dynamique
Type d'emploi : Temps plein, Contrat pro
Salaire : 800,00€ à 1 539,00€ par mois
Horaires :
Travail en journée
Travail le Week-end
Télétravail:
Non",data science,Rennes (35),,Alternance Conseiller(ère) de vente en magasin de bricolage (12 mois)
