company,description,keyword,location,posted_date,title
VeoNum,"VeoNum…
Tu en a déjà entendu parler ? un peu, beaucoup, pas encore suffisamment ?



Peu importe ta réponse à la question, je te laisse poursuivre ta lecture et t’immerger dans l’environnement Human First, valeur fondamentale de l’entreprise.



VeoNum, 
entreprise rennaise, regroupe aujourd’hui 40 consultants dont plusieurs dotés d’un doctorat. Elle est le fruit de l’engagement de ses trois fondateurs dont les valeurs sont basées
 sur la bienveillance, le partage, le bien-être et l’expertise technique.



L’entreprise à taille humaine s’inscrit dans une logique de proximité en faisant preuve de convivialité et de bon sens au quotidien.


Le « Human first », notre ADN, qu’en est-il exactement ?




C’est le choix du projet sur lequel tu vas travailler, sans aucune mobilité !


C’est une formation sur mesure et adaptée à ton expertise


C’est une bonne mutuelle, des tickets restaurant, des RTTs …


C’est une participation aux évènements régionaux (DevFest, Agile Tour…) où tu vas pouvoir te nourrir d’informations sur ton métier


C’est une vraie Team où on sait aussi de temps en temps laisser le travail de côté ! (Soirées, escape game, barbecue, karting…)




L’activité de l’entreprise quant à elle s’oriente sur plusieurs axes autour desquels tu pourras évoluer, et ainsi rapidement monter en compétences entre deux projets :




La R&D, activité réalisée sous l’enseigne VeoBrain, labo interne qui travaille sur l’IA, le machine learning…


La veille technologique sur les nouveaux Frameworks


Des projets réalisés pour des clients internationaux,


Des activités autour de la vidéo en lien avec Veo-Labs qui développe des produits de streaming vidéo embarqué / Web




Veonum prend soin de ses collaborateurs : mutuelle, tickets restaurant, aucune mobilité, projet de qualité, participation aux évènements regionaux (devfest, Agile tour…), une réelle équipe et vie d’agence (soirées d’agences, afterworks,…)



Tu recherches de nouveaux challenges, tu as une envie permanente d’apprendre et de te maintenir à ton meilleur niveau sur les nouvelles technologies, alors rejoins VeoNum pour exprimer ton talent !



Pour accompagner sa croissance à Rennes, VeoNum propose le poste suivant :


Sys Admin/devops H/F




Pourquoi avons-nous besoin de toi ?



Pour intervenir en tant que développeur backend GO, C/C++dans une équipe Agile sur un produit ou solutions vidéo sur une architecture micro-services.



Mais quel sera exactement ton rôle ?



Sys Admin, devops sur des produits déployés dans le cloud AWS


Tes activités principales au quotidien


Gestion Active directory


Admin windows et linux


Déploiement/gestion AWS (docker/kubernetes)


Pré-requis


Alors si tu aimes travailler en équipe, tu es enthousiaste et rigoureux, et disposes idéalement des connaissances et expertises suivantes :




Active directory


Administrateur système


Bonne connaissance AWS (docker/Kubernetes)


Pratique d’un langage de scripting (ex : bash, python)




Les connaissances suivantes serait un plus 
:




connaissances appréciées dans le domaine du Web (nodejs, …)




Mots clés spécifiques :




Linux/windows


AWS


docker


Kubernetes




Le poste est basé à Rennes.",admin système,VeoNum,,SysAdmin / devops H/F
SAS TEC3H,"FICHE DE POSTE DEVELOPPEUR(SE) WEB (H/F)
La société Tec3H
 est une start-up qui a créé un logiciel de gestion pour les garages et concessionnaires automobiles qui possèdent une activité de vente de véhicules d’occasion. 
Tec3H 
a intégré un partage de stock de véhicules entre professionnels sous forme de média en ligne.
Tec3H 
commercialise également des sites web spécialisés dans l’automobile sous le nom de 
Tec3Web
. L’entreprise évolue rapidement, gagne en notoriété et travaille sur des projets innovants. Elle a pour ambition d’augmenter son nombre de clients. Pour cela, 
Tec3H 
a besoin d’honorer les développements et contrats en attente.
Le besoin est de monter en puissance et devenir le logiciel de gestion automobile leader. Nous développons constamment :
Le développement web et l’analyse marché
Le marketing stratégique et opérationnel
Le commerce et le suivi des activités
Les forces de Tec3H : 
Equipe dynamique, jeune et motivée
Un regard vers l’avenir et une envie de toujours mieux faire
Deux dirigeants avec une très bonne connaissance du domaine de l’automobile
Tec3H
 possède une équipe solide, loyale et de confiance avec une mentalité corporate et ambitieuse qu’elle souhaite agrandir.
Le poste recherché en développement web : 
DEVELOPPEUR/DEVELOPPEUSE WEB 
Description du poste
CDD de 6 mois évolutif pour un CDI
Salaire brut entre 2300 - 2400€ brut / mois (27600€ - 28800€ à l'année brut)
Contrat de 37.5h / semaine
Télétravail possible ou un bureau dans nos locaux
Rattaché à votre chef de projet, vous aurez les missions suivantes avec une équipe à taille humaine dans l’esprit start-up :
Planifier et suivre les livrables de développement
Analyser, implémenter, tester, valider et documenter des améliorations dans le logiciel existant
Proposer et participer à des améliorations du logiciel existant et assurer son support
Développer des sites internet
VOS COMPETENCES : 
Maîtriser les technologies du Web (HTML, CSS, JS, JQuery et PHP)
Maîtriser un outil de développement, celui où vous êtes à l’aise (Atom, VSCode, Coda, etc.). Nous utilisons PHPStorm majoritairement.
Connaissances MySQL & Phpmyadmin (PostgresSQL étant un plus)
Atouts : 
Maîtrise des bases de Linux (manipulation de scripts, crontab, sauvegardes, BDD, Apache)
Pouvoir faire la phase de conception, modélisation pour de nouveaux projets
Maîtrise des bases de la programmation PHP en objet (classes, etc.)
La solution logiciel à maintenir/améliorer repose sur un Framework maison écrit en PHP 5 OOP avec PostgresSQL comme SGBD. Celle-ci est étroitement liée à un environnement Linux Ubuntu (serveur dédié pour des packages spécifiques nécessaires). Les nouveaux projets et sites Web sont beaucoup plus simples (HTML5, CSS, JS, JQuery, Twitter Bootstrap, PHP7 en contexte global sans OOP & MySQL phpmyadmin).
VOTRE PROFIL : 
Capacité à travailler en équipe
Autonome, rigoureux(se), réactif(ve), polyvalent(e) et créatif(ve)
Capacité à s'adapter à des méthodes de développement évolutives
L'autoformation continue fait partie de votre philosophie de travail
QUALIFICATIONS MINIMALES REQUISES : 
Frameworks, librairies & technologies : Framework maison en PHP 5 OOP avec certaines parties en PHP 7, JQuery, Twitter Bootstrap 3 & 4, MySQL, PostgreSQL, Linux Ubuntu
Langages Frontend : JavaScript, CSS 3, HTML 5
Langages Backend : PHP 5 & 7
Autres : REST API en XML & CSV, Git & Gitkraken, FileZilla
SAVOIR – ETRE : 
Respect humain
Sens du service
Esprit d’équipe
Organisé(e)
Méthodique
Impliqué(e)
Curieux(se) et créatif(ve)
Une dernière chose : 
 Notre objectif est de trouver quelqu’un qui saura s’intégrer à l’équipe avec la soif d’apprendre. Les connaissances en automobile ne sont pas un prérequis, cependant les valeurs humaines sont très importantes à nos yeux ! 
Un test technique correspondant à nos attentes vous sera envoyé
 afin de vérifier vos capacités. Celui comptera encore plus que votre expérience professionnelle.
Durée du contrat : 6 mois
Type d'emploi : Temps plein, CDD
Salaire : 2 318,00€ par mois
Avantages :
Horaires flexibles
Travail à Distance
Horaires :
Du Lundi au Vendredi
Heures Supplémentaires
Travail en journée
Expérience:
Développement Web: 1 an (Souhaité)
Télétravail:
Oui",développement web,SAS TEC3H,,DEVELOPPEUR(SE) WEB (H/F)
Formaouest,"L'entreprise



Agence de communication Web recherche recrute un Chargé de Projet E-Business.



Notre agence spécialisée Webmarketing vous permettra de mettre en application sur les sites de nos clients le contenu de votre formation.



Petite structure, nous travaillons idéalement avec des commerces de proximité et nous les accompagnons dans le développement de leur activité en ligne.



Description du poste



Durant votre mission d'un an, différents sujets vous seront confiés :





SEO /SEA

Outils Google (Analytics, ...)

Semrush

Retouche photo (Photoshop)

Rédaction Web

RGPD

E-mailing

Market Place

Analyser, classer et optimiser les stratégies d’animation de sites

Concevoir, administrer et animer les réseaux sociaux efficacement

Organiser la veille SEO, optimiser son référencement

Gérer ses visuels, contrôler et optimiser le sens des textes, monter et intégrer des vidéos de qualité professionnelle

Rédiger un cahier des charges.






Profil recherché



De formation graphique, informatique, commerciale ou marketing, vous souhaitez enrichir vos compétences en vous formant aux métiers du E-Commerce, cette formation est faite pour vous.



Naturellement attiré-e par le Webmarketing, déjà sensible aux outils numériques, vous aurez à cœur de vous concentrer sur les activités de nos clients pour valider à l'issue votre certification professionnelle.



Le niveau Bac est requis.",développement web,Formaouest,,Chargé-e de projet e-business agence web F/H
Maxipieces,"Nous recherchons actuellement :
Un développeur web (H/F)
Missions : 
Au sein d'une équipe dynamique de 12 personnes, vous aurez pour missions :
- Développement front et back
- Maintenance corrective et évolutive de nos sites internet
- Participation à l’amélioration des outils déjà en place
- Développement de nouveaux outils pour l’automatisation de tâches
- Etre force de proposition sur de nouvelles fonctionnalités
Le profil : 
Vous êtes développeur, passionné par le web et vous souhaitez rejoindre une équipe à taille humaine, efficace et motivée, pour travailler dans une ambiance agréable : alors, notre société est faite pour vous.
Requis pour le poste : 
- Maîtrises indispensables : HTML5 / CSS / Javascript / PHP, MySQL
- Connaissances techniques : Frameworks (Zend) / Connaissances serveur & gestion base de données
- Connaissances appréciées : Elasticsearch / 4D
- Compétences : Polyvalent, autonome, organisé & rigoureux
Avantages : 
Salaire à définir selon profil.
CDI
Mutuelles et primes.
Détails : 
Poste en présentiel pour le site de Rennes (35000).
Travail du lundi au vendredi de 8h30 à 17h30 (Possibilité de manger sur place le midi).
Une petite équipe où vous deviendrez rapidement un maillon essentiel du fonctionnement global.
Poste 39H.
Débutant accepté.
L'entreprise : 
Créé il y a 11 ans, Maxipieces.fr c'est un site web d'équipements et pièces pour scooter, moto et vélo.
Notre objectif est de proposer un large choix de produits aux meilleurs prix du web !
Contact : 
Tous les CV auront une réponse !
Type d'emploi : Temps plein, CDI
Horaires :
Du Lundi au Vendredi",développement web,Maxipieces,,Developpeur Web H/F
Publihebdos,"Avec 77 hebdomadaires payants, 13 journaux d'information gratuits et 2 pure players, le groupe Publihebdos est le premier groupe de Presse Hebdomadaire Régionale en France.

Média puissant, la Presse Hebdomadaire Régionale bénéficie d'un lectorat fidèle et familial.

Le groupe Publihebdos est aujourd'hui un acteur incontournable du web, grâce à la plateforme Actu.fr.


Pour rejoindre notre équipe et vous sentir épanoui(e) au sein de cette organisation qui nécessite réactivité et adaptation en permanence, vous devrez faire preuve de dynamisme, de sens de l'organisation, d’autonomie, de flexibilité et d'un esprit orienté solutions. On reconnait vos qualités d’analyse et de synthèse ainsi que votre rigueur et votre respect des délais.

La maîtrise de la formation et de l'environnement Windows, en particulier d’Excel, sont indispensables. La maitrise de l’environnement HR Access est un plus.

De formation Bac+5 (master) spécialisée en gestion des ressources humaines, droit, vous avez une expérience de 5 ans minimum en tant que généraliste RH ou en développement RH (formation, gestion des carrières)


Rejoignez notre service Ressources Humaines


Rattaché(e) hiérarchiquement au Directeur des ressources humaines, le/ la Chargé(e) de Développement RH participera à l’élaboration, au déploiement et à l’évaluation de toute la stratégie de développement des compétences des collaborateurs du groupe Publihebdos.



A ce titre, vous :

Participez à la définition et à la mise en œuvre de la politique de formation du groupe. Vous assurez l’ingénierie et les actions de formation sur le terrain, dans le respect du budget alloué, des obligations légales et conventionnelles.

Contribuez à l’élaboration du dispositif de gestion des carrières. Vous identifiez et accompagnez le développement des talents, détecter les hauts potentiels et pilotez la revue des talents. Vous élaborez et actualisez les fiches de poste.

Intervenez dans la gestion administrative du personnel. Vous assurez l’établissement des contrats de travail, le suivi administratif des dossiers du personnel ainsi que les mises à jour des procédures administratives et sociales.

A terme, vous assurerez le développement et la gestion opérationnelle des ressources humaines d’un périmètre donné.",développement web,Publihebdos,,Chargé(e) de Développement RH H/F_Rennes (35)
Conserto,"Conserto est une société innovante et dynamique qui propose des 
prestations de conseil et d’expertise informatique
.



Nous sommes nés il y a 7 ans à Nantes, désormais notre siège. Nous sommes aujourd’hui plus de 430 salariés répartis dans 10 agences à taille humaine, sur 8 villes : Nantes, Rennes, Niort, Paris, Montpellier, Toulouse, Bordeaux & Lyon !



Chez Conserto nous pensons que la technologie doit avoir un impact positif sur l’avenir de tous.



Positive technologie c’est notre façon de concevoir notre métier.


Positive technologie c’est notre 
façon de manager
, 
animer l’interne
 et 
créer du lien
 avec nos salariés et nos clients.



Car chez Conserto, 
nous sommes convaincus que la satisfaction de nos clients passe par le bien-être de nos consultants.

Mais comment ?

L'indépendance de nos agences


Une relation 1 TO 1 avec l'ensemble des parties prenantes


Une société technophile d’experts passionnés


Des projets de carrière individualisés




Pourquoi rejoindre l’aventure Conserto ?

Nous co-construisons votre projet de carrière (Formations, Conférences, évènements techniques…)


Parce que rejoindre une société où il fait bon vivre n’a pas de prix (mobilité restreinte, 
Labélisé Great Place to Work 2017…
)


Pour rejoindre une réelle équipe et vie d’agence (soirées d’agences, afterworks, défis sportifs, Ludoserto...)




Nous recherchons un développeur web Javascript pour rejoindre la team Consertienne de Rennes. Vous serez amené(e) à réaliser les tâches suivantes :



Vous travaillerez en équipe en mode Agile / Scrum et vous aurez pour mission de :




Analyse de l’existant


Participation à la construction de nouvelles architectures front-end


Rédactions des spécifications techniques et fonctionnelles


Conception et développement


Test unitaire et d’intégration




Nous recherchons en priorité un(e) passionné(e) qui a de l'autonomie sur l'environnement JS. Vous maîtrisez une ou plusieurs des compétences ci-dessous :




Langage : 
JavaScript


Maîtrise d'un ou plusieurs frameworks JS : Angular 8, React, Vue.JS, Polymer


Connaissances en back-end : Node.JS, Express, Mocha, Jasmine


API RestFull + utilisation de Docker ou Rocket


HTML5, SASS, CSS3


Outils de build : Gulp / Grunt




Nous valorisons votre expérience qu’elle soit issue de vos projets personnels ou professionnels. Technophile, vous faites de la veille sur les dernières technologies, notre société est faite pour vous !



Nous n'attendons plus que vous !


-> Cette offre est ouverte aux personnes en situation de handicap",développement web,Conserto,,Développeur Web JavaScript H/F
Département Ille-et-Vilaine,"Présentation
 
Le pôle territoires et services de proximité est piloté par une direction générale ayant un rôle stratégique de coordination et de régulation entre les agences départementales et entre les agences départementales et le siège.




A ce titre, le pôle territoires et services de proximité pilote, coordonne, en lien avec les pôles métiers, l’action des services intervenant sur les politiques départementales.




Garant de la cohérence départementale, il a en charge :



l’animation fonctionnelle et / ou hiérarchique du collectif des directeurs.trices et chefs.fes de service,



le pilotage de la cellule expertise sociale,



le pilotage de la mission vie sociale,



l'animation de certains réseaux métiers,



l’animation du développement social local,



la contribution au portage des politiques déconcentrées,



la conceptualisation et la participation à la définition des orientations stratégiques,



le pilotage de certains partenariats (ex : Askoria),



le management global de l’ensemble des personnels relevant des services déconcentrés


(agences, CDAS, collèges, espaces naturels sensibles, centres d’exploitations, antennes de


médiathèques départementales, mission mineurs non accompagnés).




Le pôle territoires et services de proximité comprend :



Une direction générale composée d’un secrétariat général et d’une mission vie sociale. Elle est


située avenue de Cucillé à Rennes.



Six agences réparties sur le territoire départemental : agences départementales des pays de


Saint-Malo, Fougères, Vitré, Redon et Vallons de Vilaine, Brocéliande et Rennes. Elles dépendent


hiérarchiquement de la Direction générale du pôle.




Elles comprennent chacune :



Une direction.



Quatre services : développement local, vie sociale, construction et ressources.




Le service vie sociale comprend comme principales thématiques d’intervention, l’aide et l’action sociale, l’éducation et les politiques en faveur de la jeunesse, les actions sportives et culturelles. Il doit en combinant tous les leviers de promotion et d’épanouissement de la vie de chacun des individus notamment les plus fragiles de la société, développer de nouvelles approches sociales plus à même de tendre vers l’égalité des chances et une insertion sociale complète et durable.




Le Centre Départemental d’Action Sociale de Rennes Villejean Saint-Martin situé 42 Cours J.F. Kennedy à RENNES (35000) – est rattaché au service vie sociale de l’Agence Départementale du Pays de Rennes.




Ce CDAS est organisé de la manière suivante :



Le responsable de CDAS est rattaché hiérarchiquement au chef de service vie sociale de l’agence départementale dont il dépend.



Le responsable enfance famille et le ou les conseillers techniques sont rattachés hiérarchiquement au responsable de CDAS.



Les médecins de PMI et médecins conseils territoriaux intervenant sur le territoire du CDAS sont


rattachés hiérarchiquement aux médecins départementaux.



Les équipes accueil, autonomie et service social/insertion relèvent de l’encadrement direct du


RCDAS.



Les équipes ASE et PMI sont rattachées hiérarchiquement au responsable enfance famille (REF).


Cf organigramme en annexe.










Description du poste










Fonctions
 
Placé.e sous l'autorité hiérarchique du Responsable enfance-famille, le.la gestionnaire ASE évolue au sein d'une équipe pluridisciplinaire et assure différentes missions qui relèvent du champ de la protection de l'enfance..




A ce titre, il.elle effectue des tâches de secrétariat et concourt à la gestion du dispositif d’aide sociale à l’enfance.




Missions générales
 
Ainsi, le.la gestionnaire assure :



Le secrétariat des travailleurs sociaux ASE dont il.elle assure le suivi administratif (saisie des rapports, traitement du courrier, copies, mise à jour des listes, tenue des échéanciers en lien avec la santé et la scolarité, accueil téléphonique …).


- L’organisation en lien avec les CT, des CADEC - commissions d’aide à la décision enfants confiés.



Le secrétariat du responsable enfance famille (courriers, prise de rendez-vous,…) par rapport aux situations confiées à l’aide sociale à l’enfance.



La gestion des demandes d’Accueil Provisoire Jeune Majeur (APJM).



Les enregistrements des mesures ASE, des mesures d’admission, des renouvellements, des changements de placement, des accueils relais, des conventions de parrainage et des suites administratives s’y rapportant.



La vérification et l’envoi des factures.



Le classement et l’archivage.



La gestion administrative des assistants familiaux (paie, envoi des frais de déplacements, envoi des demandes de congés, des contrats d’accueil, des demandes de remboursements,…).



Le suivi de l’activité ASE (créations / alimentation de tableaux bords).



Le suivi des chiffres clés ASE.



Le suivi de statistiques ASE.







Par ailleurs, il.elle :



Participe aux réunions de service animées par la responsable de Cdas.



Participe aux concertations ASE animées par les CT et aux réunions ASE mensuelles animées par le responsable enfance famille (rédaction de comptes rendus,…).



Participe aux réunions des secrétaires,



Participe ponctuellement à l’accueil téléphonique du Cdas par roulement en l’absence des agents d’accueil du Cdas ou pendant les congés.



Contribue au remplacement des deux autres gestionnaires ASE.




Missions spécifiques




Spécificités du poste
 
Fiche de poste susceptible d'évolution.




Liaisons fonctionnelles
 
Dans le cadre de ses fonctions, le.la gestionnaire ASE, placée sous l’autorité hiérarchique du.de la responsable enfance famille, établit des liaisons avec :





Les travailleurs sociaux ASE.



Les conseillers techniques.



Les travailleurs sociaux du CDAS.



Les assistants familiaux.



Les établissements et services.



Le pôle Egalité Education Citoyenneté (services généraux (factures ASE) , service de gestion des assistants familiaux).



L’agence départementale du Pays de Rennes .



Le greffe du juge des enfants.



Les parents des enfants confiés.



Les secrétaires et agents d’accueil.




Informations spécifiques offre Internet
 
Pour les personnes titulaires de la fonction publique ou inscrites sur liste d'aptitude, merci de joindre votre dernier arrêté de situation administrative ou votre attestation d'inscription sur liste d'aptitude à votre candidature.


En l'absence de ces documents, votre candidature ne pourra pas être traitée.Les personnes relevant d'une autre filière que celle du poste peuvent déposer leur candidature. En cas de recrutement, celui-ci donnera lieu à un détachement et/ou une intégration.










Document complémentaire
 
organigrammeviesociale112017.pdf (242 KB)










Profil requis














Connaissances
 
Maîtrise des outils bureautiques et des logiciels métiers (Word, Iodas, Excel, Outlook…).




Formation




Niveau de diplôme
 
Baccalauréat




Aptitudes requises
 
Connaissance et, dans la mesure du possible, pratique de l’aide sociale à l’enfance.



Disponibilité et investissement.



Capacité à travailler dans l’urgence.



Goût du travail en équipe.



Sens des relations.



Discrétion.



Efficacité.



Capacité d’adaptation.



Maîtrise de soi.



Bonne connaissance des outils bureautiques : WORD, EXCEL, IODAS.




Expériences




Niveau d'expérience










Informations complémentaires










Contacts
 
Les personnes intéressées par ce poste peuvent prendre contact avec :


Madame Julie TOUTAIN - Responsable Enfance Famille (remplaçante) -


ou Madame Gwenaëlle BERTHELOT - Responsable du CDAS de Rennes Villejean Saint-Martin- (Tél. 
02.99.02.20.10
)


.- M. MOUSSU - Conseiller recrutement-mobilité - 
02 99 02 31 47










Date de fin publication Web
 
08/02/2021",développement web,Département Ille-et-Vilaine,,Gestionnaire ASE - CDAS Rennes Villejean
CCM Benchmark Group,"La société : 
CCM Benchmark Group, appartenant au group Figaro, est un éditeur web leader en France sur ses marques (Linternaute, JDN, Comment Ça Marche, Journal des Femmes, ...) cumulant plus de 50 M de visiteurs uniques sur ses sites dans le monde.
Le poste : 
Au sein d'une équipe agile et motivée, vous participerez en tant que développeur backend au développement et à l'amélioration en continue du CMS de l'entreprise.
Stack technique :
PHP 7.1 / Symfony 4.4
Vue.js
Mysql, Sphinx, Redis
Varnish / Akamai
Profil recherché : 
Vous maîtrisez PHP et Symfony
Vous avez une expérience significative sur la mise en place d'API (rest et/ou graphql)
Vous aimez travailler sur les architectures de code et les termes DDD, TDD vous inspirent
Une expérience sur des sites à fortes charges serait un plus !
Avantages :
13ème mois
RTT
Épargne salariale
Type d'emploi : Temps plein, CDI
Salaire : 34 000,00€ à 44 000,00€ par an
Expérience:
développeur web - php symfony h/f ou similaire: 3 ans (Requis)",développement web,CCM Benchmark Group,,Développeur Web - PHP Symfony H/F
CHAMBRE REGIONALE D AGRICULTURE,"Afin d'accompagner ses nouveaux projets web et de communication, La Chambre régionale d'agriculture de Bretagne recrute, pour un CDD de 18 mois, pour un surcroît d'activité


un.e graphiste illustrateur créateur de médias digitaux au sein l'équipe pluridisciplinaire du service communication.


Les productions graphiques et multimédia (réalisation de supports, print, web, vidéo, supports animés) s'adressent à nos différents publics :



agriculteurs et conseillers agricoles pour les dossiers techniques :


Grand-Public pour les projets de promotion de l'image de l'agriculture


décideurs locaux et régionaux,


médias pour présenter les solutions agricoles face aux attentes sociétales,


etc



Afin de faciliter l'acquisition de nouvelles connaissances par nos différents publics cibles, vous créez et publiez des contenus, en proposant des solutions webdesign ergonomiques et tournées utilisateurs, vous :



Créez des infographies, illustrations et visuels permettant de faciliter la compréhension de concepts et des techniques professionnelles agricoles


Produisez des tutoriels pédagogiques et différentes ressources multimédia (vidéo, motion design, ...)


Réalisez différents supports d'information et de communication graphiques dans les chartes définies en collaboration avec les chargés de communication et chargés de missions porteurs des dossiers


Développez des outils interactifs digitaux pour favoriser les échanges avec les publics cibles (web design, habillage graphique d'appli...)


Participez aux groupes projets de nouveaux sites web en collaboration avec les différentes équipes ad-hoc et en concertation avec le chargé de communication web


Prenez part aux groupes de réflexion et aux groupes projets web, digitaux et graphiques


Mettez au service des projets vos idées, propositions et solutions pour la production de nouveaux supports multimédia




Profil :
 - Profil souhaité Diplôme / expérience professionnelle :

Bac+5 ou BTS avec expérience d'au moins 3 ans dans le domaine de la production d'outils multimédia.



Vous Maitrisez :




CMS standards disponibles sur le marché (dont Word press, Typo3 serait un plus).


les outils de création graphique de la suite adobe (indesign, photoshop, illustrator)


les logiciels de captation vidéo, de montage et d'animation comme Adobe Premier et After Effect


les plateformes de production d'animation vidéo comme Canva, Playplay


Mots-clés de compétences attendues Compétences complémentaires :




Logiciel :
 Concepteur outil Méthode

Innovations :
 Technologique



Vous disposez :

. de savoir-faire graphiques et créatifs

. de capacité d'illustrations et de facilitateur graphique

. de savoir-faire pour animer des supports d'information, de communication ou de pratiques techniques

. de capacité à produire et à publier des contenus pour les différents sites web en cours ou en construction





Conditions d'emploi :




Type de contrat :
 CDD 18 mois

Emploi-type :
 Technicien

Temps de travail :
 100%

Résidence administrative :
 Bretagne (Plérin / Quimper / Vannes ou Rennes)

Date souhaitée de prise de fonction :
 début Février 2021

Rémunération :
 selon grille en vigueur et expérience. Package social attractif (13ème mois, titres restaurant, RTT, mutuelle, prévoyance...).



Dépôt des candidatures par mail :
 lettre de motivation et CV + présentation de quelques réalisations par mail

avant le 20 janvier 2021 au soir



Entreprise :
 CHAMBRE REGIONALE D AGRICULTURE

La Chambre d'Agriculture de Bretagne, ce sont 600 collaborateurs.rices réparti.es sur l'ensemble de la Bretagne, mobilisé.es pour accompagner les agriculteurs.rices sur 4 orientations stratégiques :



assurer la pérennité des exploitations pour accroitre le développement agricole dans nos territoires


professionnaliser le métier de chef d'entreprise


favoriser le développement durable à travers un accompagnement des exploitants.es dans leurs transitions économiques, sociales et environnementales


promouvoir l'agriculture dans toutes ses dimensions.




Métier :
 Réalisation de contenus multimédias - Images et sons - Communication, Média et Multimédia - Illustrateur / Illustratrice graphiste",développement web,CHAMBRE REGIONALE D AGRICULTURE,,Graphiste illustrateur créateur (H/F)
Organilog,"La solution de gestion d'interventions Organilog est une application professionnelle, disponible sur web et mobile.
Organilog révolutionne l'approche métier des travailleurs itinérants.
Forts d'un concept moderne, avec une approche d'évolution constante, nous recherchons un·e stagiaire Développement commercial B-to-B, pour continuer de progresser avec nous.
Stage à pourvoir en télétravail.
Missions : 
- Prospection, RDV clients, qualification des besoins et présentation de la solution (présentielle ou par écran partagé).
- Élaboration de l'offre commerciale, puis échange(s) jusqu'au closing de la vente.
- Actions commerciales visant à dynamiser certains marchés peu exploités.
- Recherche et développement de nouveaux marchés.
- Up-selling et cross-selling.
- Fidélisation des utilisateurs.
- Toute autre mission qui vous semblerait pertinente pour participer à la croissance du projet.
Profil : 
- Idéalement de formation commerciale, avec un attrait pour la vente de solutions SaaS.
- Nous privilégierons votre potentiel, votre personnalité, à vos diplômes.
- Une expérience dans la vente ou le service client serait appréciée.
- Dynamisme, fraîcheur et vivacité d'esprit sont des qualités que nous saurons valoriser.
- Structuré, organisé et autonome.
- À l'aise avec l'informatique et les nouvelles technologies, le digital...
- Enthousiaste de travailler dans une ambiance start-up, et surtout pour nous !
- Anglais lu, écrit, parlé (suffisamment pour vous faire comprendre et communiquer).
- Une expérience en télétravail serait un plus : vous allez rejoindre une équipe 100 % télétravail, au sein de laquelle les membres sont à l'aise pour travailler en toute autonomie.
Nous essayons de réduire le temps de réunion, afin de se laisser plus de disponibilités pour que les choses soient faites (et bien faites).
C'est un point positif pour vous si avez déjà travaillé avec Slack. : )
Période de stage flexible.
Les bonus : 
- Ambiance start-up.
- Équipe soudée, toujours prête à vous apporter conseils et accompagnement.
- Vous allez approfondir vos connaissances avec différentes approches commerciales.
- Utilisation d'outils modernes (Slack, Zoom...).
- Petite structure qui grandit : à vous de vous impliquer si vous souhaitez contribuer au succès du projet et constater l'aboutissement de vos efforts au sein de votre stage !
- Chez nous, l'autonomie et les bonnes initiatives sont appréciées !
- Poste en télétravail : fini de perdre du temps dans les transports tous les jours.
Comment postuler : 
En plus de votre CV, l'essentiel est de répondre à ces 2 questions :
- Qu'avez-vous compris de notre activité ?
- Pourquoi êtes-vous la personne idéale pour ce poste ?
Prouvez-nous que vous avez lu l'annonce jusqu'au bout, en ajoutant le mot ""antilope"" quelque part au sein de votre réponse. ;)
Vous n'imaginez pas le nombre de personnes qui ne se donneront pas cette peine !
Type d'emploi : Temps plein, Stage
Salaire : Jusqu'à 4,00€ par heure
Horaires :
Du Lundi au Vendredi
Travail en journée
Langue:
Anglais (Obligatoire)
Télétravail:
Oui",développement web,Organilog,,Stage développement commercial H/F - Télétravail
